modDirectSearch,kmp,bmx,rabin_karp,aho_find_all,lib_find,textLen,subLen,index
3.0994415283203125e-06,4.0531158447265625e-06,4.76837158203125e-06,8.821487426757812e-06,1.621246337890625e-05,0.0,11,3,1
3.0994415283203125e-06,4.0531158447265625e-06,5.0067901611328125e-06,1.0967254638671875e-05,1.5974044799804688e-05,9.5367431640625e-07,11,3,3
2.86102294921875e-06,4.0531158447265625e-06,5.7220458984375e-06,1.1920928955078125e-05,2.09808349609375e-05,9.5367431640625e-07,11,3,1
1.9073486328125e-06,3.0994415283203125e-06,5.245208740234375e-06,1.0013580322265625e-05,1.6689300537109375e-05,9.5367431640625e-07,11,3,1
1.6689300537109375e-06,2.1457672119140625e-06,3.0994415283203125e-06,5.9604644775390625e-06,1.0967254638671875e-05,0.0,11,3,0
2.1457672119140625e-06,4.0531158447265625e-06,4.76837158203125e-06,1.4066696166992188e-05,1.0967254638671875e-05,1.1920928955078125e-06,11,3,8
4.0531158447265625e-06,5.245208740234375e-06,8.821487426757812e-06,1.9073486328125e-05,2.09808349609375e-05,0.0,11,3,7
3.0994415283203125e-06,5.0067901611328125e-06,6.9141387939453125e-06,1.6927719116210938e-05,1.811981201171875e-05,1.1920928955078125e-06,11,3,7
1.9073486328125e-06,3.0994415283203125e-06,5.7220458984375e-06,1.0013580322265625e-05,1.0967254638671875e-05,0.0,11,3,4
3.814697265625e-06,4.0531158447265625e-06,5.9604644775390625e-06,1.621246337890625e-05,1.621246337890625e-05,9.5367431640625e-07,11,3,7
2.1457672119140625e-06,2.86102294921875e-06,4.0531158447265625e-06,9.059906005859375e-06,1.3113021850585938e-05,0.0,11,3,2
3.814697265625e-06,5.0067901611328125e-06,5.7220458984375e-06,1.2874603271484375e-05,1.9788742065429688e-05,0.0,11,3,2
3.814697265625e-06,5.245208740234375e-06,5.7220458984375e-06,1.4066696166992188e-05,1.6927719116210938e-05,0.0,11,3,5
2.86102294921875e-06,5.0067901611328125e-06,5.9604644775390625e-06,1.1920928955078125e-05,1.5974044799804688e-05,0.0,11,3,3
2.1457672119140625e-06,4.0531158447265625e-06,3.814697265625e-06,9.059906005859375e-06,1.0967254638671875e-05,9.5367431640625e-07,11,3,4
